CD_MUN;Cidades;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010;Esperança de vida ao nascer 2010;% de 18 anos ou mais de idade com ensino fundamental completo 2010;Taxa de frequência bruta ao ensino médio 2010;% de extremamente pobres 2010;% de pobres 2010;População residente (Pessoas) 2022;Variação absoluta da população residente 2010 compatibilizada (Pessoas);Taxa de crescimento geométrico (%) 2022;Variável - Média de moradores em domicílios particulares permanentes ocupados (Pessoas) 2022;População residente (Pessoas) 2010;População urbana (Pessoas) 2010;População rural (Pessoas) 2010;Tinham banheiro  2010;Rede geral 2010;Lixo Coletado 2010;Companhia Distribuidora 2010
2900108;Abaíra;0.603;0.577;0.746;0.51;69.76;28.9;108.4;18.39;31.74;7301;-1540;-1.58;2.67;8316;3736;4580;247;2357;1412;2490
2900504;Aiquara;0.583;0.573;0.733;0.471;69;33.13;44.42;11.27;27.11;10604;-278;-0.22;3.41;10859;2016;8843;8;794;953;1289
2900603;Anagé;0.54;0.549;0.771;0.371;71.27;20.04;55.14;21.74;39.06;4447;-201;-0.37;2.94;4602;2680;1922;801;1897;1715;6439
2901205;Apuarema;0.552;0.555;0.735;0.413;69.09;24.88;59.8;13.05;39.49;25438;15;0;2.86;25516;4924;20592;565;1316;1496;1896
2901957;Aracatu;0.581;0.591;0.754;0.439;70.25;22.09;81.78;12.39;28.51;6913;-550;-0.64;2.76;7459;5117;2342;838;1099;1066;2753
2902005;Barra da Estiva;0.575;0.566;0.717;0.469;67.99;30.88;57.11;18.55;41.63;13936;193;0.12;3.02;13743;3938;9805;15;4354;3099;5292
2902807;Barra do Choça;0.551;0.563;0.77;0.386;71.21;23.23;48.13;12.55;31.84;26026;3853;1.34;3.01;21187;10404;10783;2538;6965;7517;8846
2902906;Barra do Rocha;0.577;0.585;0.705;0.465;67.29;32.18;59.28;13.45;34.9;36539;1722;0.4;2.98;34788;22407;12381;1916;1057;1100;1623
2903102;Belo Campo;0.575;0.562;0.76;0.444;70.59;25.07;58.04;19.67;39.69;5775;-816;-1.1;2.7;6313;3806;2507;837;394;2456;4150
2903508;Boa Nova;0.567;0.535;0.753;0.453;70.18;22.93;73.06;24.98;47.41;18412;561;0.26;2.89;16021;9029;6992;22;2633;2175;3571
2903706;Bom Jesus da Serra;0.546;0.535;0.749;0.407;69.95;22.83;57.92;28.28;46;13690;-1651;-0.94;2.89;15411;5804;9607;1082;885;767;2475
2903953;Brumado;0.656;0.63;0.807;0.554;73.41;44.68;80.53;9.57;25.36;9730;-519;-0.43;3.07;10113;2768;7345;7;13900;13706;18036
2904605;Caatiba;0.561;0.579;0.752;0.406;70.09;23.25;52.95;7.11;24.31;70510;6017;0.75;2.87;64602;45131;19471;10302;1848;1841;2557
2904803;Caetanos;0.542;0.536;0.725;0.409;68.47;23.09;72.54;27.58;43.74;6205;-3047;-3.27;2.85;11420;5398;6022;1678;173;877;2707
2905156;Cândido Sales;0.601;0.565;0.798;0.482;72.9;30.58;56.12;17.2;39.5;11266;-2349;-1.57;3.06;13639;3291;10348;114;4706;5436;7711
2906709;Caraíbas;0.555;0.57;0.739;0.405;69.35;20.17;60.13;17.51;36.8;25247;-768;-0.25;2.84;27918;19286;8632;504;955;724;2301
2906899;Caturama;0.571;0.543;0.77;0.446;71.22;23.61;53.17;24.69;42.42;9940;-282;-0.23;2.87;10222;2513;7709;97;1431;899;1869
2907558;Condeúba;0.582;0.559;0.789;0.447;72.32;26.31;65.11;21.84;40.3;8841;-419;-0.39;2.92;8843;2374;6469;394;2937;2182;4325
2908705;Contendas do Sincorá;0.577;0.579;0.695;0.477;66.7;27.81;98.09;17.18;35.43;17053;-518;-0.25;2.9;16898;7462;9436;221;851;680;1229
2908804;Cordeiros;0.579;0.561;0.763;0.454;70.77;26;65.94;17.29;33.98;4333;152;0.3;2.85;4663;2297;2366;2;1559;823;2077
2909000;Cravolândia;0.599;0.559;0.765;0.503;70.88;33.83;90.97;20.98;42.52;7546;-628;-0.66;2.86;8168;2551;5617;5;1089;1067;1392
2909505;Dário Meira;0.54;0.522;0.771;0.392;71.27;25.11;50.12;30;53.41;4415;-818;-1.41;2.73;5041;3180;1861;861;2115;1950;2934
2910008;Dom Basílio;0.591;0.547;0.783;0.482;71.97;28.05;69.6;19.27;40.89;10820;-1489;-1.07;2.85;12836;5090;7746;1263;1756;665;2886
2910107;Encruzilhada;0.544;0.533;0.754;0.4;70.23;26.02;45.01;22.89;45.03;11884;331;0.24;3.14;11355;2241;9114;5;3917;3802;5710
2910404;Érico Cardoso;0.584;0.558;0.758;0.471;70.47;27.71;79.5;23.69;36.75;19107;-3001;-1.21;2.82;23766;5130;18636;1042;2027;811;2444
2911204;Gandu;0.632;0.645;0.771;0.508;71.26;38.76;54.26;11.36;30.27;32178;2291;0.62;2.7;30336;24848;5488;4768;6481;7155;8872
2911501;Gongogi;0.576;0.543;0.773;0.456;71.37;30.35;62.96;19.09;40.1;5555;-2805;-3.35;2.79;8357;5358;2999;1159;1582;1597;2128
2912202;Ibicoara;0.591;0.583;0.731;0.484;68.86;32.3;67.33;11.12;31.21;20785;3686;1.64;3.05;17282;10961;6321;747;3482;3657;4597
2912905;Ibirataia;0.576;0.571;0.789;0.424;72.33;31.61;62.3;15.5;36.2;18792;-376;-0.16;2.72;18943;15742;3201;3698;4463;4538;5216
2913507;Iguaí;0.552;0.559;0.786;0.382;72.18;23.5;62.85;22.57;43.17;21491;-4437;-1.55;2.7;25705;14580;11125;3744;4964;4541;6531
2913903;Ipiaú;0.67;0.687;0.796;0.551;72.74;43.37;75.34;12.52;29.68;40706;-3779;-0.74;2.73;44390;40384;4006;8217;11698;11869;12788
2914208;Irajuba;0.576;0.544;0.776;0.453;71.57;27.33;59.69;22.78;44.78;6101;-845;-1.08;2.78;7002;3273;3729;41;1245;1299;2045
2914307;Iramaia;0.571;0.543;0.74;0.463;69.37;28.92;65.95;21.5;44.26;10752;-923;-0.68;2.91;11990;5404;6586;25;1834;1552;2743
2915106;Itagi;0.543;0.543;0.694;0.426;66.62;26.91;54.37;16.45;43.38;13803;651;0.4;2.96;13051;10210;2841;1862;2758;2825;3441
2915205;Itagibá;0.589;0.566;0.77;0.469;71.2;32.32;81.56;14.2;35.8;15310;-213;-0.12;2.81;15193;9572;5621;2477;3061;3023;3992
2915700;Itamari;0.578;0.595;0.713;0.454;67.77;31.15;46.7;15.34;32.85;7051;-1139;-1.24;2.76;7903;5839;2064;796;1748;1752;2215
2915809;Itambé;0.578;0.589;0.75;0.436;69.99;29.59;53.26;7.53;23.04;24394;-1056;-0.35;3.01;23089;19698;3391;4870;4977;5094;5810
2916401;Itapetinga;0.667;0.667;0.79;0.562;72.39;47.46;53.72;2.66;12.26;65897;-2446;-0.3;2.73;68273;66276;1997;17356;18464;18599;19040
2916708;Itaquara;0.553;0.539;0.763;0.411;70.75;23.46;71.25;25.22;51.57;8153;282;0.29;2.94;7678;4608;3070;1197;1593;1591;2102
2916807;Itarantim;0.61;0.608;0.766;0.487;70.93;31.71;64.26;6.79;27.65;17052;-1360;-0.64;2.71;18539;15302;3237;3863;4516;4272;4813
2916906;Itiruçu;0.6;0.588;0.762;0.482;70.7;31.94;61.61;12.99;33.21;10999;-1786;-1.25;2.76;12693;9526;3167;1199;3010;3180;3716
2917102;Itororó;0.594;0.598;0.739;0.474;69.31;32.64;57.31;8.6;22.06;16617;-3297;-1.5;2.67;19914;18100;1814;4114;5215;4915;5689
2917201;Ituaçu;0.57;0.565;0.77;0.425;71.22;25.28;57.6;20.6;42.66;17914;-1;0;2.89;18127;6569;11558;230;2472;2054;4736
2917607;Jaguaquara;0.58;0.586;0.747;0.446;69.81;30.69;52.75;12.81;32.3;45964;-4943;-0.85;2.88;51011;38850;12161;3185;10945;11167;13571
2918001;Jequié;0.665;0.656;0.79;0.568;72.42;49.02;65.75;7.88;22.48;158813;7512;0.4;2.73;151895;139426;12469;33175;41035;41153;44241
2918308;Jitaúna;0.575;0.563;0.704;0.479;67.25;31.12;69.75;18.16;42.15;14355;-58;-0.03;2.79;14115;9260;4855;1943;2498;2930;3754
2918605;Jussiape;0.602;0.6;0.736;0.493;69.17;29.29;67.78;13.43;24.82;7379;-720;-0.77;2.91;8031;3068;4963;238;2048;928;2304
2918704;Lafaiete Coutinho;0.599;0.576;0.771;0.483;71.26;28.85;65.88;14.73;38.48;4075;125;0.26;2.54;3901;2104;1797;381;879;876;1153
2919058;Lajedo do Tabocal;0.584;0.545;0.764;0.479;70.85;26.69;90.7;14.58;45.4;7494;-750;-0.79;2.74;8305;5149;3156;3;1826;1573;2338
2919504;Livramento de Nossa Senhora;0.611;0.587;0.793;0.491;72.6;30.16;68.08;18.58;35.73;43903;2278;0.45;2.98;42693;20530;22163;3001;7307;5652;10822
2919702;Macarani;0.605;0.607;0.782;0.466;71.94;33.57;46.96;5.68;23.98;21599;4719;2.08;2.98;17093;13639;3454;3767;4168;4104;4556
2919959;Maetinga;0.538;0.565;0.751;0.368;70.07;20.96;78.7;19.29;33.28;6973;20;0.02;2.86;7038;2817;4221;485;1064;807;1554
2920007;Maiquinique;0.576;0.586;0.69;0.472;66.4;31.88;45.61;9.8;27.36;8731;-273;-0.26;2.75;8782;6916;1866;1974;2042;2050;2475
2920304;Malhada de Pedras;0.578;0.549;0.747;0.471;69.83;25.97;76.17;23.18;39.63;8670;107;0.1;2.9;8468;3234;5234;212;1072;921;2267
2920403;Manoel Vitorino;0.566;0.538;0.741;0.456;69.48;25.53;56.14;26.47;46.92;13860;-585;-0.34;2.87;14387;7359;7028;28;2167;2124;2964
2920502;Maracás;0.607;0.577;0.747;0.519;69.8;33.42;68.55;17.5;39.19;27620;2919;0.94;2.76;24613;17707;6906;32;4541;5667;6709
2921450;Mirante;0.527;0.524;0.722;0.386;68.33;19.6;62.96;32.05;49.79;10187;-162;-0.13;2.95;10507;1809;8698;385;688;636;2493
2922706;Nova Canaã;0.545;0.554;0.789;0.37;72.35;20.73;44.33;17.4;36.62;13715;-2321;-1.29;2.74;16713;6852;9861;2160;2607;2509;4495
2922755;Nova Ibiá;0.57;0.62;0.714;0.419;67.86;25.54;37.96;8.09;31.18;6501;-326;-0.41;2.7;6648;2807;3841;717;821;849;1888
2923605;Paramirim;0.615;0.604;0.776;0.496;71.53;34.68;54.26;14.89;30.95;20351;14;0.01;3.01;21001;10029;10972;1254;4519;3042;5144
2924678;Piraí do Norte;0.533;0.546;0.762;0.363;70.72;23.78;66.25;20.16;42.52;10974;1289;1.05;3.4;9799;3689;6110;499;1088;1223;2155
2924702;Piripá;0.575;0.547;0.768;0.453;71.1;29.25;44.07;21.83;41.13;9152;-3605;-2.73;2.81;12783;6195;6588;103;2121;1703;2849
2924900;Planaltino;0.572;0.573;0.708;0.462;67.45;24.98;85.77;21.89;42.02;8022;-648;-0.65;2.74;8822;3640;5182;5;885;1246;2179
2925006;Planalto;0.56;0.557;0.738;0.428;69.25;25.14;62.72;16.4;37.1;23334;-822;-0.29;2.81;24481;14869;9612;33;4286;4426;6479
2925105;Poções;0.604;0.583;0.798;0.474;72.85;31.48;69.31;18.66;38.45;48293;2438;0.43;2.86;44701;34659;10042;6944;10608;10531;12490
2925402;Potiraguá;0.625;0.595;0.754;0.545;70.23;37.42;73.21;9.84;27.83;10274;197;0.16;3.07;9810;6604;3206;2040;2480;2517;2631
2925709;Presidente Jânio Quadros;0.542;0.533;0.772;0.386;71.29;19.35;52.88;30.34;49.92;12621;-1014;-0.64;2.85;13652;4198;9454;477;1442;1335;2810
2926657;Ribeirão do Largo;0.54;0.566;0.759;0.366;70.54;21.62;66.22;10.66;34.6;9740;-520;-0.43;2.91;8602;4647;3955;685;1404;1331;2019
2926707;Rio de Contas;0.605;0.58;0.767;0.498;71.01;30.65;57.81;16.88;32.97;13184;-94;-0.06;2.89;13007;6309;6698;727;2743;2203;3616
2926905;Rio do Pires;0.594;0.568;0.767;0.481;71;29.09;64.98;19.86;36.17;10497;-839;-0.64;3;11918;5267;6651;64;2284;1678;2856
2927903;Santa Inês;0.574;0.571;0.704;0.47;67.25;32.64;82.75;15.08;36.1;10300;-356;-0.28;2.84;10363;9514;849;1935;2786;2870;3062
2931004;Tanhaçu;0.577;0.565;0.772;0.44;71.29;26.25;74.08;19.47;41.94;21006;901;0.37;2.87;20013;8290;11723;678;2822;2704;5333
2931608;Teolândia;0.555;0.541;0.756;0.418;70.38;28.61;55.36;17.74;44.84;15332;1451;0.83;3.23;14836;5068;9768;763;1312;1399;2806
2931806;Tremedal;0.528;0.545;0.749;0.36;69.94;19.18;61.53;24.25;42.9;16296;-1759;-0.85;2.77;17029;3939;13090;277;1670;1263;3830
2932309;Ubatã;0.593;0.586;0.788;0.452;72.29;35.66;51.73;14.63;40.02;16094;-8178;-3.37;2.74;25004;17951;7053;3391;4679;5047;6151
2933307;Vitória da Conquista;0.678;0.681;0.788;0.581;72.3;49.26;71.52;5.6;18.07;370879;64865;1.61;2.86;306866;274739;32127;42800;75488;77051;85552
2933505;Wenceslau Guimarães;0.544;0.558;0.752;0.383;70.11;26.26;39.14;15.25;37.03;24474;2607;0.94;2.94;22189;7511;14678;1504;2655;2854;5148
